PO,Id Unico de Pago,Remesa,Orden de Pago
D6612CC1-A719-4FBF-ACC1-5D48E66581C5,D6612CC1-A719-4FBF-ACC1-5D48E66581C5,Remesa-8211457,Orden de Pago-8294570
EAB993FF-A845-48E5-8E46-20EE30ADD4A1,EAB993FF-A845-48E5-8E46-20EE30ADD4A1,Remesa-8211463,Orden de Pago-8294576
060E61EA-59DB-4893-9736-D1FE7E47DD19,060E61EA-59DB-4893-9736-D1FE7E47DD19,Remesa-8211470,Orden de Pago-8294583
7D268727-0958-4A9E-BD6E-2C6BEFF6BF88,7D268727-0958-4A9E-BD6E-2C6BEFF6BF88,Remesa-8211471,Orden de Pago-8294584
A1880969-90FA-4227-83A2-A94922E842B0,A1880969-90FA-4227-83A2-A94922E842B0,Remesa-8211508,Orden de Pago-8294623
3A406FCC-2B7B-44F1-9441-FC5D1D07B099,3A406FCC-2B7B-44F1-9441-FC5D1D07B099,Remesa-8211522,Orden de Pago-8294637
A74E383F-8CF8-4E36-846A-73C06F8AC20E,A74E383F-8CF8-4E36-846A-73C06F8AC20E,Remesa-8211531,Orden de Pago-8294646
3C966FDB-631C-4C31-A8E6-1C6F937CB6C7,3C966FDB-631C-4C31-A8E6-1C6F937CB6C7,Remesa-8211543,Orden de Pago-8294658
CA4B4DB3-7425-4974-B0A1-8ECBFD9656B0,CA4B4DB3-7425-4974-B0A1-8ECBFD9656B0,Remesa-8211546,Orden de Pago-8294662
72EE598C-F410-4F31-AECF-89493797DAD6,72EE598C-F410-4F31-AECF-89493797DAD6,Remesa-8211547,Orden de Pago-8294663
5083836F-CBB2-4324-AA1E-7660A33F5C35,5083836F-CBB2-4324-AA1E-7660A33F5C35,Remesa-8211552,Orden de Pago-8294668
66397D04-5757-456A-85BC-9622E080598E,66397D04-5757-456A-85BC-9622E080598E,Remesa-8211712,Orden de Pago-8294832
12E9E942-C7DA-4575-9FDB-E29ABA125FA1,12E9E942-C7DA-4575-9FDB-E29ABA125FA1,Remesa-8211751,Orden de Pago-8294871
AEC9A406-2C19-404D-97A6-255DFA212904,AEC9A406-2C19-404D-97A6-255DFA212904,Remesa-8211755,Orden de Pago-8294875
049A3A01-DF5B-40B8-BF23-3CF222A6D12A,049A3A01-DF5B-40B8-BF23-3CF222A6D12A,Remesa-8211762,Orden de Pago-8294883
1D8AC2F7-8C35-4F36-9792-6B51895614E8,1D8AC2F7-8C35-4F36-9792-6B51895614E8,Remesa-8211778,Orden de Pago-8294899
D1105152-31A1-4C5F-AA6F-E62A103E2420,D1105152-31A1-4C5F-AA6F-E62A103E2420,Remesa-8211788,Orden de Pago-8294910
CF3CDEF6-6248-4150-89E0-2A4E73EC78B3,CF3CDEF6-6248-4150-89E0-2A4E73EC78B3,Remesa-8211841,Orden de Pago-8294965
126D8B2C-A8AF-43C0-85A6-CE6E9F416085,126D8B2C-A8AF-43C0-85A6-CE6E9F416085,Remesa-8211883,Orden de Pago-8295008
CD37B0B6-7288-4258-B9F1-EC23E9F90CB1,CD37B0B6-7288-4258-B9F1-EC23E9F90CB1,Remesa-8211887,Orden de Pago-8295012
9B0B917C-A272-4949-B087-E2B2F8B114D4,9B0B917C-A272-4949-B087-E2B2F8B114D4,Remesa-8211899,Orden de Pago-8295024
197F14DD-DE91-4C74-86CC-1E4C86AB9C9A,197F14DD-DE91-4C74-86CC-1E4C86AB9C9A,Remesa-8211912,Orden de Pago-8295037
3667C652-528E-40E3-AD16-13209ACD8314,3667C652-528E-40E3-AD16-13209ACD8314,Remesa-8211971,Orden de Pago-8295099
6BCCC66D-C1A3-40A4-9FBE-178A74F7D052,6BCCC66D-C1A3-40A4-9FBE-178A74F7D052,Remesa-8211979,Orden de Pago-8295107
5F00699A-C1CA-461A-8619-B24A40CFC238,5F00699A-C1CA-461A-8619-B24A40CFC238,Remesa-8211998,Orden de Pago-8295126
62F02351-72C5-4781-BCE8-E3B86B0F37B4,62F02351-72C5-4781-BCE8-E3B86B0F37B4,Remesa-8212024,Orden de Pago-8295154
F25B57F6-ECFD-455E-9712-7259B943C31D,F25B57F6-ECFD-455E-9712-7259B943C31D,Remesa-8212034,Orden de Pago-8295163
C17C106C-BE88-4ECB-BC76-64391238B694,C17C106C-BE88-4ECB-BC76-64391238B694,Remesa-8212043,Orden de Pago-8295172
96162232-C9BA-463E-85A1-51F00A6FEA8C,96162232-C9BA-463E-85A1-51F00A6FEA8C,Remesa-8212044,Orden de Pago-8295173
C0D59BB9-7BBD-4B0C-B394-60ED6975D9BF,C0D59BB9-7BBD-4B0C-B394-60ED6975D9BF,Remesa-8212050,Orden de Pago-8295179
38F9FDBA-9D59-4D41-BB51-4318A1EA4661,38F9FDBA-9D59-4D41-BB51-4318A1EA4661,Remesa-8212054,Orden de Pago-8295183
C6D16426-6B81-4DF3-BEB6-103FC50C3DEC,C6D16426-6B81-4DF3-BEB6-103FC50C3DEC,Remesa-8212057,Orden de Pago-8295186
0FE6BCF6-893C-4C58-9079-0A9CADD0386E,0FE6BCF6-893C-4C58-9079-0A9CADD0386E,Remesa-8212074,Orden de Pago-8295204
C517A93D-669A-4830-9E4B-21C19732ABB3,C517A93D-669A-4830-9E4B-21C19732ABB3,Remesa-8212083,Orden de Pago-8295215
9DBD5250-535F-4725-9EF2-4A2FD11EF332,9DBD5250-535F-4725-9EF2-4A2FD11EF332,Remesa-8212084,Orden de Pago-8295217
9F8FCCB3-0409-4B98-A45A-96A768621188,9F8FCCB3-0409-4B98-A45A-96A768621188,Remesa-8212089,Orden de Pago-8295221
AF1833C0-2016-4116-9BB3-0022496272FA,AF1833C0-2016-4116-9BB3-0022496272FA,Remesa-8212123,Orden de Pago-8295256
47EC758E-6D23-4082-8FED-73395E8E192A,47EC758E-6D23-4082-8FED-73395E8E192A,Remesa-8212135,Orden de Pago-8295269
86A74583-6855-4C10-87C4-79B79B237656,86A74583-6855-4C10-87C4-79B79B237656,Remesa-8212147,Orden de Pago-8295282
BFAAB222-67D3-46E6-9B42-D3BDE88144BC,BFAAB222-67D3-46E6-9B42-D3BDE88144BC,Remesa-8212158,Orden de Pago-8295294
621312CF-3B72-4248-B9DA-3DFC466B2ED9,621312CF-3B72-4248-B9DA-3DFC466B2ED9,Remesa-8212171,Orden de Pago-8295308
955A13F1-0B09-480F-B6F2-20BAAA381613,955A13F1-0B09-480F-B6F2-20BAAA381613,Remesa-8212213,Orden de Pago-8295352
A6ED63A4-83D6-4DD0-AC23-842F8F95FD76,A6ED63A4-83D6-4DD0-AC23-842F8F95FD76,Remesa-8212227,Orden de Pago-8295366
4608759E-0586-47C7-9FB0-BBFAA726AFE6,4608759E-0586-47C7-9FB0-BBFAA726AFE6,Remesa-8212247,Orden de Pago-8295385
27691569-277D-4361-8A7B-A8D0FE8572E5,27691569-277D-4361-8A7B-A8D0FE8572E5,Remesa-8212249,Orden de Pago-8295387
C991B5A9-6003-4E85-A0E8-2ACC72B40623,C991B5A9-6003-4E85-A0E8-2ACC72B40623,Remesa-8212260,Orden de Pago-8295398
11021786-263F-4FD9-87E2-39E3352EE6D5,11021786-263F-4FD9-87E2-39E3352EE6D5,Remesa-8212310,Orden de Pago-8295449
28E783D0-DAFC-4848-981F-6BB835031524,28E783D0-DAFC-4848-981F-6BB835031524,Remesa-8212312,Orden de Pago-8295452
57A7A0EF-DC78-4276-B3DF-3BD4730994C3,57A7A0EF-DC78-4276-B3DF-3BD4730994C3,Remesa-8212323,Orden de Pago-8295461
107E9CD1-46CA-460F-98A3-52074242B043,107E9CD1-46CA-460F-98A3-52074242B043,Remesa-8212373,Orden de Pago-8295512
06EB0BD3-942F-4FAE-AE76-14B676CC0420,06EB0BD3-942F-4FAE-AE76-14B676CC0420,Remesa-8212375,Orden de Pago-8295516
DFE58B71-D6EB-42BE-8E97-C7BAF09518BE,DFE58B71-D6EB-42BE-8E97-C7BAF09518BE,Remesa-8212407,Orden de Pago-8295548
0848FCDD-1333-4919-B796-340593606447,0848FCDD-1333-4919-B796-340593606447,Remesa-8212417,Orden de Pago-8295557
C7EAA597-92C2-4E9C-93E4-363395FCD551,C7EAA597-92C2-4E9C-93E4-363395FCD551,Remesa-8212476,Orden de Pago-8295617
E892C40A-98BB-427C-86F2-FFA971BE41D0,E892C40A-98BB-427C-86F2-FFA971BE41D0,Remesa-8212496,Orden de Pago-8295637
D1EC38AE-C307-44F3-8AE1-67A2E51F8B6F,D1EC38AE-C307-44F3-8AE1-67A2E51F8B6F,Remesa-8212502,Orden de Pago-8295643
E6D6F6B6-3A4F-4516-B80F-B34452EDF16D,E6D6F6B6-3A4F-4516-B80F-B34452EDF16D,Remesa-8212503,Orden de Pago-8295644
4E24BCF8-25B0-4069-8308-2C9135E15714,4E24BCF8-25B0-4069-8308-2C9135E15714,Remesa-8212507,Orden de Pago-8295648
1FB7B45A-582B-4E57-A7AF-DF78FD1A7CD2,1FB7B45A-582B-4E57-A7AF-DF78FD1A7CD2,Remesa-8212514,Orden de Pago-8295655
B2045CEB-8859-497E-B79C-06E1BB71DFE5,B2045CEB-8859-497E-B79C-06E1BB71DFE5,Remesa-8212531,Orden de Pago-8295672
